Epoch 162, Loss: -49.43362808227539, Success rate: 0.25, Mean reward: -0.5841310620307922, Std reward: 0.7292384505271912
Epoch 163, Loss: -60.200504302978516, Success rate: 0.1875, Mean reward: -0.7014193534851074, Std reward: 0.6307422518730164
Epoch 164, Loss: -59.82892608642578, Success rate: 0.171875, Mean reward: -0.72586989402771, Std reward: 0.6124134659767151
Epoch 165, Loss: -54.328330993652344, Success rate: 0.234375, Mean reward: -0.6110936403274536, Std reward: 0.7153723835945129
Epoch 166, Loss: -47.71781539916992, Success rate: 0.296875, Mean reward: -0.5233301520347595, Std reward: 0.7420555949211121
Epoch 167, Loss: -35.25757598876953, Success rate: 0.375, Mean reward: -0.3814317286014557, Std reward: 0.8113819360733032
Epoch 168, Loss: -39.077659606933594, Success rate: 0.34375, Mean reward: -0.4370754063129425, Std reward: 0.790287971496582
Epoch 169, Loss: -40.65657424926758, Success rate: 0.328125, Mean reward: -0.44754844903945923, Std reward: 0.800077497959137
Epoch 170, Loss: -60.166114807128906, Success rate: 0.1875, Mean reward: -0.712165117263794, Std reward: 0.6072574257850647
Epoch 171, Loss: -51.65443801879883, Success rate: 0.265625, Mean reward: -0.5782626867294312, Std reward: 0.7157592177391052
Epoch 172, Loss: -35.45488739013672, Success rate: 0.359375, Mean reward: -0.3987247943878174, Std reward: 0.8143025636672974
Epoch 173, Loss: -52.118125915527344, Success rate: 0.25, Mean reward: -0.5879773497581482, Std reward: 0.722242534160614
Epoch 174, Loss: -45.639404296875, Success rate: 0.296875, Mean reward: -0.5157974362373352, Std reward: 0.7558779120445251
Epoch 175, Loss: -40.272132873535156, Success rate: 0.34375, Mean reward: -0.42934679985046387, Std reward: 0.8013219833374023
Epoch 176, Loss: -48.56627655029297, Success rate: 0.296875, Mean reward: -0.5215466022491455, Std reward: 0.7485827803611755
Epoch 177, Loss: -55.258079528808594, Success rate: 0.21875, Mean reward: -0.6332331895828247, Std reward: 0.7008878588676453
